t              u1              u2
0.262322       0.276475      -0.426036
0.263224       0.277474      -0.425979
0.264126       0.278472      -0.425920
0.265028       0.279470      -0.425861
0.265929       0.280468      -0.425802
0.266831       0.281466      -0.425741
0.267731       0.282465      -0.425680
0.268632       0.283463      -0.425618
0.269532       0.284461      -0.425556
0.270433       0.285459      -0.425493
0.271332       0.286457      -0.425429
0.272232       0.287456      -0.425364
0.273131       0.288454      -0.425299
0.274030       0.289452      -0.425233
0.274929       0.290450      -0.425167
0.275828       0.291448      -0.425099
0.276726       0.292447      -0.425031
0.277624       0.293445      -0.424963
0.278522       0.294443      -0.424893
0.279419       0.295441      -0.424824
0.280316       0.296439      -0.424753
0.281213       0.297438      -0.424682
0.282110       0.298436      -0.424610
0.283006       0.299434      -0.424537
0.283903       0.300432      -0.424464
0.284799       0.301430      -0.424390
0.285694       0.302429      -0.424315
0.286590       0.303427      -0.424240
0.287485       0.304425      -0.424164
0.288380       0.305423      -0.424087
0.289274       0.306421      -0.424010
0.290169       0.307420      -0.423932
0.291063       0.308418      -0.423853
0.291957       0.309416      -0.423774
0.292851       0.310414      -0.423694
0.293744       0.311413      -0.423614
0.294637       0.312411      -0.423532
0.295530       0.313409      -0.423450
0.296423       0.314407      -0.423368
0.297315       0.315405      -0.423285
0.298207       0.316404      -0.423201
0.299099       0.317402      -0.423116
0.299991       0.318400      -0.423031
0.300883       0.319398      -0.422945
0.301774       0.320396      -0.422859
0.302665       0.321395      -0.422772
0.303555       0.322393      -0.422684
0.304446       0.323391      -0.422596
0.305336       0.324389      -0.422506
0.306226       0.325388      -0.422417
0.307116       0.326386      -0.422326
0.308006       0.327384      -0.422235
0.308895       0.328382      -0.422144
0.309784       0.329380      -0.422052
0.310673       0.330379      -0.421959
0.311561       0.331377      -0.421865
0.312450       0.332375      -0.421771
0.313338       0.333373      -0.421676
0.314226       0.334372      -0.421581
0.315113       0.335370      -0.421485
0.316001       0.336368      -0.421388
0.316888       0.337366      -0.421290
0.317775       0.338364      -0.421192
0.318661       0.339363      -0.421094
0.319548       0.340361      -0.420995
0.320434       0.341359      -0.420895
0.321320       0.342357      -0.420794
0.322206       0.343356      -0.420693
0.323091       0.344354      -0.420591
0.323977       0.345352      -0.420489
0.324862       0.346350      -0.420386
0.325747       0.347349      -0.420282
0.326631       0.348347      -0.420178
0.327516       0.349345      -0.420073
0.328400       0.350343      -0.419968
0.329284       0.351341      -0.419861
0.330168       0.352340      -0.419755
0.331051       0.353338      -0.419647
0.331935       0.354336      -0.419539
0.332818       0.355334      -0.419431
0.333701       0.356333      -0.419322
0.334583       0.357331      -0.419212
0.335466       0.358329      -0.419101
0.336348       0.359327      -0.418990
0.337230       0.360326      -0.418879
0.338112       0.361324      -0.418766
0.338993       0.362322      -0.418653
0.339874       0.363320      -0.418540
0.340756       0.364318      -0.418426
0.341636       0.365317      -0.418311
0.342517       0.366315      -0.418196
0.343398       0.367313      -0.418080
0.344278       0.368311      -0.417963
0.345158       0.369310      -0.417846
0.346038       0.370308      -0.417728
0.346917       0.371306      -0.417610
0.347797       0.372304      -0.417491
0.348676       0.373303      -0.417372
0.349555       0.374301      -0.417251
0.350434       0.375299      -0.417131
0.351312       0.376297      -0.417009
0.352191       0.377296      -0.416887
0.353069       0.378294      -0.416765
0.353947       0.379292      -0.416642
0.354825       0.380290      -0.416518
0.355702       0.381289      -0.416394
0.356579       0.382287      -0.416269
0.357457       0.383285      -0.416143
0.358334       0.384283      -0.416017
0.359210       0.385282      -0.415891
0.360087       0.386280      -0.415763
0.360963       0.387278      -0.415635
0.361839       0.388276      -0.415507
0.362715       0.389275      -0.415378
0.363591       0.390273      -0.415248
0.364466       0.391271      -0.415118
0.365342       0.392269      -0.414987
0.366217       0.393268      -0.414856
0.367092       0.394266      -0.414724
0.367967       0.395264      -0.414592
0.368841       0.396262      -0.414458
0.369715       0.397261      -0.414325
0.370590       0.398259      -0.414190
0.371464       0.399257      -0.414056
0.372337       0.400255      -0.413920
0.373211       0.401254      -0.413784
0.374084       0.402252      -0.413648
0.374957       0.403250      -0.413511
0.375830       0.404248      -0.413373
0.376703       0.405247      -0.413235
0.377576       0.406245      -0.413096
0.378448       0.407243      -0.412956
0.379320       0.408241      -0.412816
0.380193       0.409240      -0.412676
0.381064       0.410238      -0.412535
0.381936       0.411236      -0.412393
0.382808       0.412234      -0.412251
0.383679       0.413233      -0.412108
0.384550       0.414231      -0.411964
0.385421       0.415229      -0.411820
0.386292       0.416227      -0.411676
0.387162       0.417226      -0.411531
0.388033       0.418224      -0.411385
0.388903       0.419222      -0.411239
0.389773       0.420220      -0.411092
