t              u1             u2             u3
0.276875       1.000000       2.830625       3.000000
0.277500       1.000000       2.832500       3.000000
0.278125       1.000000       2.834375       3.000000
0.278750       1.000000       2.836250       3.000000
0.279375       1.000000       2.838125       3.000000
0.280000       1.000000       2.840000       3.000000
0.280625       1.000000       2.841875       3.000000
0.281250       1.000000       2.843750       3.000000
0.281875       1.000000       2.845625       3.000000
0.282500       1.000000       2.847500       3.000000
0.283125       1.000000       2.849375       3.000000
0.283750       1.000000       2.851250       3.000000
0.284375       1.000000       2.853125       3.000000
0.285000       1.000000       2.855000       3.000000
0.285625       1.000000       2.856875       3.000000
0.286250       1.000000       2.858750       3.000000
0.286875       1.000000       2.860625       3.000000
0.287500       1.000000       2.862500       3.000000
0.288125       1.000000       2.864375       3.000000
0.288750       1.000000       2.866250       3.000000
0.289375       1.000000       2.868125       3.000000
0.290000       1.000000       2.870000       3.000000
0.290625       1.000000       2.871875       3.000000
0.291250       1.000000       2.873750       3.000000
0.291875       1.000000       2.875625       3.000000
0.292500       1.000000       2.877500       3.000000
0.293125       1.000000       2.879375       3.000000
0.293750       1.000000       2.881250       3.000000
0.294375       1.000000       2.883125       3.000000
0.295000       1.000000       2.885000       3.000000
0.295625       1.000000       2.886875       3.000000
0.296250       1.000000       2.888750       3.000000
0.296875       1.000000       2.890625       3.000000
0.297500       1.000000       2.892500       3.000000
0.298125       1.000000       2.894375       3.000000
0.298750       1.000000       2.896250       3.000000
0.299375       1.000000       2.898125       3.000000
0.300000       1.000000       2.900000       3.000000
0.300625       1.000000       2.901875       3.000000
0.301250       1.000000       2.903750       3.000000
0.301875       1.000000       2.905625       3.000000
0.302500       1.000000       2.907500       3.000000
0.303125       1.000000       2.909375       3.000000
0.303750       1.000000       2.911250       3.000000
0.304375       1.000000       2.913125       3.000000
0.305000       1.000000       2.915000       3.000000
0.305625       1.000000       2.916875       3.000000
0.306250       1.000000       2.918750       3.000000
0.306875       1.000000       2.920625       3.000000
0.307500       1.000000       2.922500       3.000000
0.308125       1.000000       2.924375       3.000000
0.308750       1.000000       2.926250       3.000000
0.309375       1.000000       2.928125       3.000000
0.310000       1.000000       2.930000       3.000000
0.310625       1.000000       2.931875       3.000000
0.311250       1.000000       2.933750       3.000000
0.311875       1.000000       2.935625       3.000000
0.312500       1.000000       2.937500       3.000000
0.313125       1.000000       2.939375       3.000000
0.313750       1.000000       2.941250       3.000000
0.314375       1.000000       2.943125       3.000000
0.315000       1.000000       2.945000       3.000000
0.315625       1.000000       2.946875       3.000000
0.316250       1.000000       2.948750       3.000000
0.316875       1.000000       2.950625       3.000000
0.317500       1.000000       2.952500       3.000000
0.318125       1.000000       2.954375       3.000000
0.318750       1.000000       2.956250       3.000000
0.319375       1.000000       2.958125       3.000000
0.320000       1.000000       2.960000       3.000000
0.320625       1.000000       2.961875       3.000000
0.321250       1.000000       2.963750       3.000000
0.321875       1.000000       2.965625       3.000000
0.322500       1.000000       2.967500       3.000000
0.323125       1.000000       2.969375       3.000000
0.323750       1.000000       2.971250       3.000000
0.324375       1.000000       2.973125       3.000000
0.325000       1.000000       2.975000       3.000000
0.325625       1.000000       2.976875       3.000000
0.326250       1.000000       2.978750       3.000000
0.326875       1.000000       2.980625       3.000000
0.327500       1.000000       2.982500       3.000000
0.328125       1.000000       2.984375       3.000000
0.328750       1.000000       2.986250       3.000000
0.329375       1.000000       2.988125       3.000000
0.330000       1.000000       2.990000       3.000000
0.330625       1.000000       2.991875       3.000000
0.331250       1.000000       2.993750       3.000000
0.331875       1.000000       2.995625       3.000000
0.332500       1.000000       2.997500       3.000000
0.333125       1.000000       2.999375       3.000000
0.333750       1.000000       3.001250       3.000000
0.334375       1.000000       3.003125       3.000000
0.335000       1.000000       3.005000       3.000000
0.335625       1.000000       3.006875       3.000000
0.336250       1.000000       3.008750       3.000000
0.336875       1.000000       3.010625       3.000000
0.337500       1.000000       3.012500       3.000000
0.338125       1.000000       3.014375       3.000000
0.338750       1.000000       3.016250       3.000000
0.339375       1.000000       3.018125       3.000000
0.340000       1.000000       3.020000       3.000000
0.340625       1.000000       3.021875       3.000000
0.341250       1.000000       3.023750       3.000000
0.341875       1.000000       3.025625       3.000000
0.342500       1.000000       3.027500       3.000000
0.343125       1.000000       3.029375       3.000000
0.343750       1.000000       3.031250       3.000000
0.344375       1.000000       3.033125       3.000000
0.345000       1.000000       3.035000       3.000000
0.345625       1.000000       3.036875       3.000000
