t              u1             u2             u3
0.099600       1.000000       2.298801       3.000000
0.099933       1.000000       2.299800       3.000000
0.100266       1.000000       2.300799       3.000000
0.100600       1.000000       2.301799       3.000000
0.100933       1.000000       2.302798       3.000000
0.101266       1.000000       2.303797       3.000000
0.101599       1.000000       2.304797       3.000000
0.101932       1.000000       2.305796       3.000000
0.102265       1.000000       2.306795       3.000000
0.102598       1.000000       2.307795       3.000000
0.102931       1.000000       2.308794       3.000000
0.103264       1.000000       2.309793       3.000000
0.103598       1.000000       2.310793       3.000000
0.103931       1.000000       2.311792       3.000000
0.104264       1.000000       2.312791       3.000000
0.104597       1.000000       2.313791       3.000000
0.104930       1.000000       2.314790       3.000000
0.105263       1.000000       2.315789       3.000000
0.105596       1.000000       2.316789       3.000000
0.105929       1.000000       2.317788       3.000000
0.106262       1.000000       2.318787       3.000000
0.106596       1.000000       2.319787       3.000000
0.106929       1.000000       2.320786       3.000000
0.107262       1.000000       2.321785       3.000000
0.107595       1.000000       2.322785       3.000000
0.107928       1.000000       2.323784       3.000000
0.108261       1.000000       2.324783       3.000000
0.108594       1.000000       2.325783       3.000000
0.108927       1.000000       2.326782       3.000000
0.109260       1.000000       2.327781       3.000000
0.109594       1.000000       2.328781       3.000000
0.109927       1.000000       2.329780       3.000000
0.110260       1.000000       2.330779       3.000000
0.110593       1.000000       2.331779       3.000000
0.110926       1.000000       2.332778       3.000000
0.111259       1.000000       2.333777       3.000000
0.111592       1.000000       2.334777       3.000000
0.111925       1.000000       2.335776       3.000000
0.112258       1.000000       2.336775       3.000000
0.112592       1.000000       2.337775       3.000000
0.112925       1.000000       2.338774       3.000000
0.113258       1.000000       2.339773       3.000000
0.113591       1.000000       2.340773       3.000000
0.113924       1.000000       2.341772       3.000000
0.114257       1.000000       2.342771       3.000000
0.114590       1.000000       2.343771       3.000000
0.114923       1.000000       2.344770       3.000000
0.115256       1.000000       2.345769       3.000000
0.115590       1.000000       2.346769       3.000000
0.115923       1.000000       2.347768       3.000000
0.116256       1.000000       2.348767       3.000000
0.116589       1.000000       2.349767       3.000000
0.116922       1.000000       2.350766       3.000000
0.117255       1.000000       2.351765       3.000000
0.117588       1.000000       2.352765       3.000000
0.117921       1.000000       2.353764       3.000000
0.118254       1.000000       2.354763       3.000000
0.118588       1.000000       2.355763       3.000000
0.118921       1.000000       2.356762       3.000000
0.119254       1.000000       2.357761       3.000000
0.119587       1.000000       2.358761       3.000000
0.119920       1.000000       2.359760       3.000000
0.120253       1.000000       2.360759       3.000000
0.120586       1.000000       2.361759       3.000000
0.120919       1.000000       2.362758       3.000000
0.121252       1.000000       2.363757       3.000000
0.121586       1.000000       2.364757       3.000000
0.121919       1.000000       2.365756       3.000000
0.122252       1.000000       2.366755       3.000000
0.122585       1.000000       2.367755       3.000000
0.122918       1.000000       2.368754       3.000000
0.123251       1.000000       2.369753       3.000000
0.123584       1.000000       2.370753       3.000000
0.123917       1.000000       2.371752       3.000000
0.124250       1.000000       2.372751       3.000000
0.124584       1.000000       2.373751       3.000000
0.124917       1.000000       2.374750       3.000000
0.125250       1.000000       2.375750       3.000000
0.125583       1.000000       2.376749       3.000000
0.125916       1.000000       2.377748       3.000000
0.126249       1.000000       2.378748       3.000000
0.126582       1.000000       2.379747       3.000000
0.126915       1.000000       2.380746       3.000000
0.127249       1.000000       2.381746       3.000000
0.127582       1.000000       2.382745       3.000000
0.127915       1.000000       2.383744       3.000000
0.128248       1.000000       2.384744       3.000000
0.128581       1.000000       2.385743       3.000000
0.128914       1.000000       2.386742       3.000000
0.129247       1.000000       2.387742       3.000000
0.129580       1.000000       2.388741       3.000000
0.129913       1.000000       2.389740       3.000000
0.130247       1.000000       2.390740       3.000000
0.130580       1.000000       2.391739       3.000000
0.130913       1.000000       2.392738       3.000000
0.131246       1.000000       2.393738       3.000000
0.131579       1.000000       2.394737       3.000000
